Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.1,1,regula_falsi,0.6758253957551267,1,1.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.05,1,regula_falsi,0.7188789810921011,2,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.01,1,regula_falsi,0.7678940920905165,5,1.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.005,1,regula_falsi,0.771014396438845,6,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.001,1,regula_falsi,0.7729364667396663,8,3.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.0001,1,regula_falsi,0.7733249085445124,11,0.9990000000000001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,1e-05,1,regula_falsi,0.7733507526123766,13,3.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,1e-06,1,regula_falsi,0.7733559073409983,16,3.0010000000000003,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.1,2,regula_falsi,0.7462365017594161,3,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.05,2,regula_falsi,0.7609020810511373,4,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.01,2,regula_falsi,0.771014396438845,6,1.001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.005,2,regula_falsi,0.7723624998768779,7,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.001,2,regula_falsi,0.7731792869965356,9,4.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.0001,2,regula_falsi,0.773343094103108,12,1.9989999999999999,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,1e-05,2,regula_falsi,0.7733539775726244,14,1.9989999999999999,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,1e-06,2,regula_falsi,0.7733561481104042,17,1.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.1,3,regula_falsi,0.6758253957551267,1,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.05,3,regula_falsi,0.7462365017594161,3,1.002,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.01,3,regula_falsi,0.7678940920905165,5,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.005,3,regula_falsi,0.771014396438845,6,0.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.001,3,regula_falsi,0.7729364667396663,8,4.001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.0001,3,regula_falsi,0.7733249085445124,11,4.999,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,1e-05,3,regula_falsi,0.7733507526123766,13,2.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,1e-06,3,regula_falsi,0.7733559073409983,16,2.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.1,4,regula_falsi,0.771014396438845,6,0.9990000000000001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.05,4,regula_falsi,0.771014396438845,6,0.9990000000000001,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.01,4,regula_falsi,0.7729364667396663,8,1.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.005,4,regula_falsi,0.7731792869965356,9,1.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.001,4,regula_falsi,0.7733249085445124,11,2.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,0.0001,4,regula_falsi,0.7733539775726244,14,4.0,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,1e-05,4,regula_falsi,0.7733561481104042,17,1.9989999999999999,Yes,No
np.sin(3 * x + 2) + np.cos(4 * x ** 2 - 2),0.62,1,1e-06,4,regula_falsi,0.7733562921792816,19,4.0,Yes,No
